ExamID,StudyID,FinalGrade
1969,2016.03.106,0.638095238095238
1969,2016.03.13,0.780952380952381
1969,2016.03.11,0.8571428571428571
1969,2016.03.132,0.7333333333333333
1969,2016.03.2,0.6476190476190476
1969,2016.03.1,0.7238095238095238
1969,2016.03.118,0.8285714285714286
1969,2016.03.114,0.6190476190476191
1969,2016.03.18,0.5142857142857142
1969,2016.03.16,0.7714285714285715
2307,2016.03PA.145,0.32727272727272727
2144,2016.03PA.144,0.5272727272727272
2311,2015.01.118,0.49074074074074076
2038,2016.03PA.141,0.5596330275229358
2167,2016.01.49,0.4158415841584158
2262,2016.01.42,0.37
2055,2016.03.8,0.4387755102040816
2205,2016.03.103,0.57
2038,2016.03PA.147,0.7431192660550459
2038,2016.03PA.146,0.6788990825688074
2038,2016.03PA.145,0.5321100917431193
2038,2016.03PA.144,0.6513761467889908
2038,2016.03PA.143,0.6238532110091743
2038,2016.03PA.141,0.6513761467889908
2038,2016.03PA.140,0.8256880733944955
2038,2016.03PA.158,0.8256880733944955
2038,2016.03PA.157,0.7981651376146789
2038,2016.03PA.156,0.6972477064220184
2038,2016.03PA.155,0.5963302752293578
2038,2016.03PA.154,0.6972477064220184
2038,2016.03PA.153,0.8165137614678899
2038,2016.03PA.152,0.7798165137614679
2038,2016.03PA.151,0.7889908256880734
2038,2016.03PA.150,0.8348623853211009
2038,2016.03PA.139,0.7064220183486238
2038,2016.03PA.138,0.6605504587155964
2038,2016.03PA.137,0.7064220183486238
2038,2016.03PA.148,0.7247706422018348
2311,2015.01.144,0.7592592592592593
2167,2015.01.141,0.43564356435643564
2311,2015.01.141,0.49074074074074076
2311,2015.01.138,0.8240740740740741
2311,2015.01.136,0.5740740740740741
2311,2015.01.133,0.6944444444444444
2311,2015.01.132,0.48148148148148145
2311,2015.01.131,0.6111111111111112
2311,2015.01.129,0.5833333333333334
2311,2015.01.128,0.6944444444444444
2311,2015.01.127,0.7407407407407407
2167,2015.01.125,0.7029702970297029
2311,2015.01.125,0.6388888888888888
2311,2015.01.124,0.7129629629629629
2311,2015.01.123,0.7685185185185185
2311,2015.01.122,0.8518518518518519
2311,2015.01.121,0.75
2311,2015.01.120,0.7129629629629629
2311,2015.01.119,0.7870370370370371
2167,2015.01.118,0.5742574257425742
2311,2015.01.118,0.5833333333333334
2311,2015.01.117,0.7314814814814815
2311,2015.01.115,0.8333333333333334
2167,2015.01.114,0.5346534653465347
2262,2015.01.114,0.42
2311,2015.01.114,0.5092592592592593
2311,2015.01.111,0.5462962962962963
2311,2015.01.110,0.7129629629629629
2311,2015.01.109,0.7407407407407407
2167,2015.01.108,0.5544554455445545
2311,2015.01.108,0.6851851851851852
2311,2015.01.106,0.6388888888888888
2311,2015.01.105,0.6851851851851852
2311,2015.01.104,0.7222222222222222
2311,2015.01.103,0.6388888888888888
2311,2015.01.102,0.7129629629629629
2311,2015.01.101,0.75
2311,2015.01.100,0.5648148148148148
2167,2016.01.99,0.5148514851485149
2262,2016.01.99,0.51
2167,2016.01.98,0.6336633663366337
2262,2016.01.98,0.52
2167,2016.01.97,0.6039603960396039
2262,2016.01.97,0.72
2167,2016.01.96,0.6039603960396039
2262,2016.01.96,0.63
2167,2016.01.95,0.49504950495049505
2262,2016.01.95,0.61
2167,2016.01.94,0.5643564356435643
2262,2016.01.94,0.56
2167,2016.01.93,0.6336633663366337
2262,2016.01.93,0.74
2167,2016.01.91,0.7425742574257426
2262,2016.01.91,0.83
2167,2016.01.90,0.46534653465346537
2167,2016.01.89,0.33663366336633666
2262,2016.01.89,0.21
2167,2016.01.88,0.6633663366336634
2262,2016.01.88,0.66
2167,2016.01.87,0.6534653465346535
2262,2016.01.87,0.53
2167,2016.01.86,0.5
2262,2016.01.86,0.42
2167,2016.01.85,0.7524752475247525
2262,2016.01.85,0.84
2167,2016.01.84,0.7227722772277227
2262,2016.01.84,0.75
2167,2016.01.83,0.6435643564356436
2262,2016.01.83,0.74
2167,2016.01.82,0.7425742574257426
2262,2016.01.82,0.8
2167,2016.01.81,0.5247524752475248
2262,2016.01.81,0.46
2262,2016.01.175,0.55
2262,2016.01.173,0.41
2167,2016.01.170,0.2871287128712871
2307,2017.03PA.159,0.5
2307,2017.03PA.158,0.4818181818181818
2307,2017.03PA.157,0.45454545454545453
2307,2017.03PA.156,0.6363636363636364
2307,2017.03PA.155,0.34545454545454546
2307,2017.03PA.154,0.5454545454545454
2307,2017.03PA.153,0.5818181818181818
2307,2017.03PA.151,0.5909090909090909
2307,2017.03PA.150,0.5181818181818182
2055,2016.03.134,0.7959183673469388
2205,2016.03.134,0.74
2055,2016.03.9,0.5714285714285714
2205,2016.03.9,0.63
2055,2016.03.133,0.673469387755102
2205,2016.03.133,0.64
2055,2016.03.8,0.5102040816326531
2205,2016.03.8,0.55
2055,2016.03.132,0.7448979591836735
2205,2016.03.132,0.75
2055,2016.03.7,0.6020408163265306
2205,2016.03.7,0.72
2055,2016.03.6,0.8673469387755102
2205,2016.03.6,0.78
2055,2016.03.5,0.5918367346938775
2205,2016.03.5,0.71
2055,2016.03.4,0.7448979591836735
2205,2016.03.4,0.6
2167,2016.01.75,0.7029702970297029
2262,2016.01.75,0.75
2055,2016.03.3,0.6836734693877551
2205,2016.03.3,0.66
2055,2016.03.2,0.7551020408163265
2205,2016.03.2,0.71
2167,2016.01.169,0.5742574257425742
2262,2016.01.169,0.44
2055,2016.03.1,0.7755102040816326
2205,2016.03.1,0.68
2167,2016.01.72,0.5841584158415841
2262,2016.01.72,0.52
2167,2016.01.71,0.5445544554455446
2262,2016.01.71,0.62
2167,2016.01.164,0.44554455445544555
2262,2016.01.162,0.33
2311,2016.01.162,0.5277777777777778
2167,2016.01.160,0.5346534653465347
2307,2017.03PA.148,0.41818181818181815
2307,2017.03PA.147,0.6
2307,2017.03PA.146,0.4727272727272727
2307,2017.03PA.145,0.4
2307,2017.03PA.144,0.5818181818181818
2307,2017.03PA.143,0.4727272727272727
2307,2017.03PA.141,0.4636363636363636
2307,2017.03PA.140,0.6545454545454545
2167,2016.01.68,0.594059405940594
2262,2016.01.68,0.34
2055,2016.03.121,0.6938775510204082
2205,2016.03.121,0.65
2167,2016.01.67,0.5643564356435643
2262,2016.01.67,0.5
2055,2016.03.120,0.7857142857142857
2205,2016.03.120,0.69
2167,2016.01.64,0.6534653465346535
2262,2016.01.64,0.43
2167,2016.01.63,0.594059405940594
2262,2016.01.63,0.61
2167,2016.01.159,0.42574257425742573
2262,2016.01.159,0.38
2167,2016.01.62,0.5643564356435643
2262,2016.01.62,0.44
2167,2016.01.158,0.33663366336633666
2262,2016.01.158,0.34
2167,2016.01.61,0.6633663366336634
2262,2016.01.61,0.71
2167,2016.01.157,0.39603960396039606
2262,2016.01.157,0.31
2167,2016.01.60,0.7524752475247525
2262,2016.01.60,0.83
2167,2016.01.156,0.504950495049505
2262,2016.01.156,0.45
2167,2016.01.155,0.2871287128712871
2167,2016.01.153,0.49504950495049505
2262,2016.01.153,0.42
2167,2016.01.152,0.49504950495049505
2262,2016.01.152,0.48
2167,2016.01.151,0.43564356435643564
2262,2016.01.151,0.42
2167,2016.01.150,0.5445544554455446
2262,2016.01.150,0.35
2307,2017.03PA.138,0.5545454545454546
2055,2016.03.119,0.5816326530612245
2205,2016.03.119,0.66
2055,2016.03.118,0.8673469387755102
2205,2016.03.118,0.77
2055,2016.03.117,0.6020408163265306
2205,2016.03.117,0.69
2055,2016.03.116,0.5612244897959183
2205,2016.03.116,0.67
2055,2016.03.115,0.826530612244898
2205,2016.03.115,0.69
2055,2016.03.114,0.6428571428571429
2205,2016.03.114,0.67
2055,2016.03.113,0.5714285714285714
2205,2016.03.113,0.61
2167,2016.01.59,0.6732673267326733
2262,2016.01.59,0.56
2055,2016.03.112,0.6632653061224489
2205,2016.03.112,0.67
2167,2016.01.58,0.7326732673267327
2262,2016.01.58,0.72
2055,2016.03.111,0.5204081632653061
2205,2016.03.111,0.64
2262,2016.03.111,0.32
2311,2016.03.111,0.6759259259259259
2167,2016.01.57,0.5247524752475248
2262,2016.01.57,0.39
2055,2016.03.110,0.7244897959183674
2205,2016.03.110,0.74
2167,2016.01.56,0.6633663366336634
2262,2016.01.56,0.69
2167,2016.01.55,0.6237623762376238
2262,2016.01.55,0.66
2167,2016.01.54,0.45544554455445546
2262,2016.01.54,0.43
2167,2016.01.53,0.5544554455445545
2262,2016.01.53,0.63
2167,2016.01.52,0.5148514851485149
2262,2016.01.52,0.58
2167,2016.01.51,0.7128712871287128
2262,2016.01.51,0.51
2167,2016.01.50,0.56
2262,2016.01.50,0.6
2055,2016.03.109,0.6938775510204082
2205,2016.03.109,0.61
2055,2016.03.108,0.7244897959183674
2205,2016.03.108,0.73
2055,2016.03.107,0.6836734693877551
2205,2016.03.107,0.61
2055,2016.03.106,0.6632653061224489
2205,2016.03.106,0.66
2055,2016.03.105,0.7346938775510204
2205,2016.03.105,0.71
2055,2016.03.104,0.5306122448979592
2205,2016.03.104,0.56
2055,2016.03.103,0.5306122448979592
2167,2016.01.49,0.7920792079207921
2262,2016.01.49,0.85
2055,2016.03.102,0.6428571428571429
2205,2016.03.102,0.72
2167,2016.01.48,0.5742574257425742
2262,2016.01.48,0.66
2055,2016.03.101,0.7346938775510204
2205,2016.03.101,0.67
2167,2016.01.47,0.5346534653465347
2262,2016.01.47,0.59
2055,2016.03.100,0.6530612244897959
2205,2016.03.100,0.72
2167,2016.01.46,0.49
2262,2016.01.46,0.31
2167,2016.01.45,0.6534653465346535
2262,2016.01.45,0.61
2167,2016.01.44,0.7128712871287128
2262,2016.01.44,0.79
2167,2016.01.43,0.6237623762376238
2262,2016.01.43,0.62
2167,2016.01.42,0.5
2262,2016.01.42,0.41
2167,2016.01.41,0.5643564356435643
2262,2016.01.41,0.7
2167,2016.01.40,0.46534653465346537
2262,2016.01.40,0.46
2167,2016.01.131,0.6039603960396039
2262,2016.01.131,0.63
2167,2016.01.130,0.5445544554455446
2262,2016.01.130,0.47
2167,2016.01.39,0.5841584158415841
2262,2016.01.39,0.52
2167,2016.01.37,0.7029702970297029
2262,2016.01.37,0.66
2167,2016.01.36,0.504950495049505
2262,2016.01.36,0.31
2167,2016.01.35,0.6633663366336634
2262,2016.01.35,0.74
2167,2016.01.34,0.48514851485148514
2262,2016.01.34,0.57
2167,2016.01.33,0.594059405940594
2262,2016.01.33,0.52
2167,2016.01.32,0.48514851485148514
2262,2016.01.32,0.64
2167,2016.01.129,0.48514851485148514
2262,2016.01.129,0.44
2167,2016.01.31,0.45544554455445546
2262,2016.01.31,0.46
2167,2016.01.128,0.46534653465346537
2262,2016.01.128,0.48
2167,2016.01.30,0.5445544554455446
2262,2016.01.30,0.36
2167,2016.01.126,0.6732673267326733
2262,2016.01.126,0.66
2167,2016.01.125,0.594059405940594
2262,2016.01.125,0.59
2167,2016.01.124,0.6435643564356436
2262,2016.01.124,0.75
2167,2016.01.123,0.6237623762376238
2262,2016.01.123,0.67
2167,2016.01.122,0.7029702970297029
2262,2016.01.122,0.73
2167,2016.01.121,0.4752475247524752
2262,2016.01.121,0.42
2167,2016.01.120,0.45
2262,2016.01.120,0.45
2167,2016.01.29,0.48514851485148514
2262,2016.01.29,0.5
2167,2016.01.28,0.7425742574257426
2262,2016.01.28,0.71
2167,2016.01.27,0.6237623762376238
2262,2016.01.27,0.45
2167,2016.01.26,0.5742574257425742
2262,2016.01.26,0.45
2167,2016.01.25,0.5544554455445545
2262,2016.01.25,0.49
2167,2016.01.24,0.6336633663366337
2262,2016.01.24,0.54
2167,2016.01.23,0.6732673267326733
2262,2016.01.23,0.65
2167,2016.01.22,0.5841584158415841
2262,2016.01.22,0.64
2167,2016.01.119,0.3069306930693069
2262,2016.01.119,0.53
2167,2016.01.21,0.5841584158415841
2262,2016.01.21,0.7
2167,2016.01.118,0.5841584158415841
2262,2016.01.118,0.51
2167,2016.01.20,0.4752475247524752
2262,2016.01.20,0.52
2167,2016.01.117,0.3564356435643564
2262,2016.01.117,0.51
2167,2016.01.116,0.38613861386138615
2262,2016.01.116,0.56
2167,2016.01.115,0.5247524752475248
2262,2016.01.115,0.46
2167,2016.01.114,0.44554455445544555
2262,2016.01.114,0.35
2167,2016.01.113,0.6633663366336634
2262,2016.01.113,0.5
2167,2016.01.112,0.4752475247524752
2262,2016.01.112,0.61
2167,2016.01.111,0.6633663366336634
2262,2016.01.111,0.57
2167,2016.01.110,0.6831683168316832
2262,2016.01.110,0.77
2055,2016.03.99,0.6836734693877551
2205,2016.03.99,0.74
2055,2016.03.98,0.826530612244898
2205,2016.03.98,0.77
2055,2016.03.97,0.8061224489795918
2205,2016.03.97,0.66
2055,2016.03.96,0.45918367346938777
2205,2016.03.96,0.61
2167,2016.01.19,0.44
2262,2016.01.19,0.54
2055,2016.03.95,0.7551020408163265
2205,2016.03.95,0.77
2167,2016.01.18,0.5841584158415841
2262,2016.01.18,0.27
2167,2016.01.17,0.7
2262,2016.01.17,0.72
2055,2016.03.93,0.6530612244897959
2205,2016.03.93,0.65
2167,2016.01.16,0.49504950495049505
2262,2016.01.16,0.71
2055,2016.03.92,0.5612244897959183
2205,2016.03.92,0.62
2167,2016.01.15,0.36633663366336633
2262,2016.01.15,0.46
2055,2016.03.91,0.6938775510204082
2205,2016.03.91,0.7
2167,2016.01.14,0.5346534653465347
2262,2016.01.14,0.5
2055,2016.03.90,0.6836734693877551
2205,2016.03.90,0.67
2167,2016.01.13,0.48
2262,2016.01.13,0.47
2167,2016.01.12,0.44554455445544555
2262,2016.01.12,0.45
2167,2016.01.109,0.48514851485148514
2262,2016.01.109,0.39
2167,2016.01.11,0.5643564356435643
2262,2016.01.11,0.43
2167,2016.01.108,0.5544554455445545
2262,2016.01.108,0.49
2167,2016.01.10,0.5148514851485149
2262,2016.01.10,0.5
2167,2016.01.107,0.5247524752475248
2262,2016.01.107,0.48
2167,2016.01.106,0.5643564356435643
2262,2016.01.106,0.58
2167,2016.01.105,0.42574257425742573
2262,2016.01.105,0.47
2167,2016.01.104,0.6336633663366337
2262,2016.01.104,0.58
2167,2016.01.103,0.6732673267326733
2262,2016.01.103,0.87
2167,2016.01.101,0.594059405940594
2262,2016.01.101,0.75
2167,2016.01.100,0.7326732673267327
2262,2016.01.100,0.72
2055,2016.03.89,0.7755102040816326
2205,2016.03.89,0.72
2055,2016.03.88,0.6836734693877551
2205,2016.03.88,0.7
2055,2016.03.87,0.5
2205,2016.03.87,0.59
2055,2016.03.86,0.5510204081632653
2055,2016.03.85,0.6836734693877551
2205,2016.03.85,0.55
