File_ID;Num_Clicks;CD;StD_CD;Num_Double_Clicks;TDC;StD_TDC;TBC;StD_TBC;MV;StD_MV;MA;StD_MA;DBC;StD_DBC;ED;StD_ED;AED;StD_AED;DMSL;StD_DMSL;ADMSL;StD_ADMSL;ASA;StD_ASA;SSA;StD_SSA;Grade
mouse_2311_2015.01.2;64;101,125;75,3117331;1;191;0;8710,709677;15958,91906;0,911061872;0,766326375;0,00077167;0,001171123;3697,328267;4343,734553;2963,999462;4444,206056;42,69614414;146,8499589;2265119,397;3155105,135;183,1319173;144,4277213;56470,61391;99297,53485;2750,327503;12712,74057;0,564814815
mouse_2311_2015.01.3;607;193,2817133;640,4373506;7;136,4285714;28,38930067;17315,74791;26163,34175;0,407908319;0,418893855;0,000276606;0,000456935;2559,132722;2844,369917;1933,481787;2801,019342;21,15544818;74,15045842;42191080,75;54655924,39;258,4550223;272,934477;76803,70976;99016,75056;-11259,28804;24825,69095;0,666666667
mouse_2311_2015.01.5;558;317,2598566;1327,084974;4;163,25;41,60428664;17695,19168;26352,85677;0,34883951;0,40888146;0,000272124;0,000499602;1623,686378;1644,503976;972,6122336;1553,847135;4,903544028;12,72956716;18172500,58;20935970,31;208,7754312;155,7527874;47195,85027;62111,59164;-2577,897184;18985,40211;0,777777778
mouse_2311_2015.01.6;711;372,254571;1142,828751;17;131,1176471;39,54093261;15175,66955;22806,59061;0,261979851;0,25072639;0,000158603;0,000395295;1980,417939;2127,208305;1520,374177;2065,882773;18,2785194;93,22146801;40897443,1;28035260,05;324,4492924;86,85052889;59493,40837;67156,52198;-8831,814921;19700,85788;0,722222222
mouse_2311_2015.01.7;606;294,9092409;1056,395869;5;130,2;82,99216948;16831,70833;29929,75068;0,240413303;0,356223538;0,000213655;0,000431748;1017,322824;1357,431225;604,0876897;1261,351029;6,964646145;54,18135716;15428709,03;10026769,75;333,2248657;130,2855467;22113,84488;26312,67168;-507,2636958;10124,15667;0,527777778
mouse_2311_2015.01.8;1443;259,6770617;900,0131052;267;124,5430712;29,03952777;8821,630638;19711,06898;0,367127085;0,404369205;0,000367014;0,000643657;1506,205166;2107,556004;1022,518172;1940,246014;11,301126;146,3628479;45624586,46;42655087,79;272,5468271;190,0458089;43963,81895;74078,52996;-7396,638144;28374,83286;0,722222222
mouse_2311_2015.01.10;36;194,8611111;453,0342781;0;0;0;20995,4;46258,36069;0,6937201;0,586289818;0,0006045;0,000834194;4357,987782;6385,992318;3640,814475;6279,528795;6,130190121;7,495593643;3175538,551;3519953,229;197,7418356;180,9794431;119575,1333;188002,308;-23809,71806;36459,71944;0,712962963
mouse_2311_2015.01.11;416;347,6826923;1005,948074;16;151,8125;30,35175723;21958,4787;36834,73769;0,421295728;0,458439356;0,000253464;0,000449988;3289,043334;3751,753259;2637,046962;3697,601363;25,28213002;125,6693915;23080759,24;24423337,71;251,3646953;200,5230063;81751,97235;106547,8471;-4386,067631;18649,85611;0,62962963
mouse_2311_2015.01.13;802;488,7069825;1450,577327;27;111,6666667;34,28276086;11287,63307;21566,09872;0,38989827;0,438897718;0,000343768;0,000645728;1886,555867;2286,418668;1393,693625;2164,245353;11,39462842;44,5908758;40128006,29;37746740,37;320,787031;196,8977264;51156,95732;71398,86108;-5225,884994;19462,05362;0,518518519
mouse_2311_2015.01.14;952;188,7058824;977,2670406;45;115,0444444;45,46425021;8157,3234;12920,73148;0,239287419;0,23732672;0,000154866;0,00024012;1220,803976;1599,18678;898,4896394;1512,235836;19,96843009;80,64512333;33718379,83;20499259,44;283,534974;137,5893834;36303,0297;49541,54227;-3468,936219;14787,37268;0,62037037
mouse_2311_2015.01.17;46;111,4565217;19,17950996;0;0;0;11844,75556;14277,63118;0,381953571;0,335927951;0,000164261;0,000259783;2418,627271;1776,465541;1510,154121;1648,452883;3,160757661;2,404057572;1936147,254;2003106,665;158,0067989;162,5410875;99869,31086;97446,0554;-23829,59033;36712,98741;0,787037037
mouse_2311_2015.01.19;247;217,5668016;445,6305845;6;95,66666667;28,45815613;19802,70833;44608,21841;0,595755858;0,504889328;0,000535647;0,000650694;2466,061477;2962,589646;1680,731113;2866,50489;11,91095576;110,9109151;9486354,812;12574414,52;153,9716204;172,1815414;69574,44664;112504,3596;-7663,573171;21565,27325;0,768518519
mouse_2311_2015.01.20;233;208,0085837;469,2016698;0;0;0;12553,50431;24549,08194;0,508258825;0,415759591;0,000351983;0,000488718;3122,430439;4426,252231;2401,884347;4288,511567;6,881433596;21,3623613;11311245,68;14364587,22;225,1368144;192,4795148;75266,04572;122943,4295;-4237,06222;14183,26742;0,574074074
mouse_2311_2015.01.21;1;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,712962963
mouse_2311_2015.01.22;1462;250,8235294;616,6078585;79;139,5949367;40,97075866;7484,43343;16920,8596;0,381415087;0,434683453;0,000459195;0,000830721;976,7221443;1203,123546;558,4711061;1075,250058;6,71193229;37,08130194;28272925,36;25275000,43;309,5420284;149,6033665;20385,36245;30863,50765;-533,3125327;7285,510397;0,648148148
mouse_2311_2015.01.23;860;371,1116279;755,9827902;25;138,24;41,8780763;11506,85252;23737,97196;0,320213512;0,276878335;0,000265792;0,000579906;1958,28395;2512,25978;1476,154484;2407,412578;15,04107195;93,96323449;62299884,23;52069913,48;345,2779312;154,1099606;62923,76513;89913,21171;-11311,39802;27391,80326;0,712962963
